Date,Close/Last,Volume,Open,High,Low,,,Date,High
6/5/2021,35968.9,N/A,37400.3,36225.5,35421.5,,,6/5/2021,36225.5
6/4/2021,37419.3,N/A,37928.2,37811.3,36666.8,,,6/4/2021,37811.3
6/3/2021,37877.1,N/A,37636,39255.4,37442.6,,,6/3/2021,39255.4
6/2/2021,37581.7,N/A,36479.5,37812.7,37193.6,,,6/2/2021,37812.7
6/1/2021,36395.6,N/A,36699.5,36856.2,35981.1,,,6/1/2021,36856.2
5/31/2021,36617.3,N/A,34503.3,37850.3,36539.1,,,5/31/2021,37850.3
5/30/2021,34408.7,N/A,34780.3,35931.9,34330.2,,,5/30/2021,35931.9
5/29/2021,34670.7,N/A,36465.5,34773.6,33441,,,5/29/2021,34773.6
5/28/2021,36324.7,N/A,38279,36717.8,35651.4,,,5/28/2021,36717.8
5/27/2021,37973.8,N/A,37616.5,38844.1,37790.4,,,5/27/2021,38844.1
5/26/2021,37470,N/A,39562.9,39249,37190.8,,,5/26/2021,39249
5/25/2021,39444.5,N/A,38360.3,39497.3,37847,,,5/25/2021,39497.3
5/24/2021,38288.4,N/A,35268.6,39740.8,37875.1,,,5/24/2021,39740.8
5/23/2021,35298.3,N/A,37460.4,35863.1,34715.3,,,5/23/2021,35863.1
5/22/2021,37436.4,N/A,36979.4,38248.7,36822.9,,,5/22/2021,38248.7
5/21/2021,36906.3,N/A,40710.8,38056.8,36606.7,,,5/21/2021,38056.8
5/20/2021,40779.5,N/A,38170.6,42108.3,40521.5,,,5/20/2021,42108.3
5/19/2021,38220.1,N/A,40491.1,38573.3,35010.4,,,5/19/2021,38573.3
5/18/2021,40569,N/A,45042.4,43516.6,40164.2,,,5/18/2021,43516.6
5/17/2021,44847.2,N/A,44482,45231.4,43186.8,,,5/17/2021,45231.4
5/16/2021,43493.4,N/A,48167.2,46545.4,43072.5,,,5/16/2021,46545.4
5/15/2021,47875.9,N/A,50046.3,48323.8,46574.6,,,5/15/2021,48323.8
5/14/2021,49762.8,N/A,49176.2,50640.9,49303.7,,,5/14/2021,50640.9
5/13/2021,49391.5,N/A,50260.7,50387.3,49258,,,5/13/2021,50387.3
5/12/2021,49715.2,N/A,57762.7,50843,46331.1,,,5/12/2021,50843
5/11/2021,57752.6,N/A,55164.2,57753,56597.1,,,5/11/2021,57753
5/10/2021,55126.4,N/A,59400.6,56384.2,54550.4,,,5/10/2021,56384.2
5/9/2021,59352.4,N/A,58585.3,59426.6,58066,,,5/9/2021,59426.6
5/8/2021,58976.3,N/A,58110.5,59227,58391.4,,,5/8/2021,59227
5/7/2021,58058.1,N/A,55732,58412.9,56972.2,,,5/7/2021,58412.9
5/6/2021,55920,N/A,56835.9,57080.7,55533.7,,,5/6/2021,57080.7
5/5/2021,56860.9,N/A,55024.5,57560.8,56623.5,,,5/5/2021,57560.8
5/4/2021,55085.6,N/A,55745.7,55088.1,53872.5,,,5/4/2021,55088.1
5/3/2021,55470.2,N/A,57953.7,57201.3,54735.3,,,5/3/2021,57201.3
5/2/2021,57961.5,N/A,56532.2,58261.4,56562.4,,,5/2/2021,58261.4
5/1/2021,56591,N/A,58189.8,57868.4,56556.1,,,5/1/2021,57868.4
4/30/2021,58188.8,N/A,53706,58449.4,57528.9,,,4/30/2021,58449.4
4/29/2021,53667,N/A,54270.4,53802.7,53088.7,,,4/29/2021,53802.7
4/28/2021,54165.8,N/A,54818.7,55173.7,54164.4,,,4/28/2021,55173.7
4/27/2021,55019.8,N/A,53505.3,55718.8,54871.9,,,4/27/2021,55718.8
4/26/2021,53527.9,N/A,52388.1,54120.6,53431.1,,,4/26/2021,54120.6
4/25/2021,52265.6,N/A,49690.8,52420.9,48815.9,,,4/25/2021,52420.9
4/24/2021,49705.9,N/A,50128.7,50438.8,49658.6,,,4/24/2021,50438.8
4/23/2021,50207,N/A,50294.7,51183,49380.6,,,4/23/2021,51183
4/22/2021,50197.1,N/A,53456.3,52099.9,48788.3,,,4/22/2021,52099.9
4/21/2021,53351.4,N/A,55256.9,54606.2,52585.9,,,4/21/2021,54606.2
4/20/2021,55500.5,N/A,54709,56764.4,55447.9,,,4/20/2021,56764.4
4/19/2021,54759.9,N/A,57060.2,55776.8,54404.6,,,4/19/2021,55776.8
4/18/2021,57230.4,N/A,55371.5,57275.2,55767,,,4/18/2021,57275.2
4/17/2021,53728.9,N/A,62404.8,60362.1,51817.6,,,4/17/2021,60362.1
4/16/2021,62376.3,N/A,62936.8,62509.1,61155.6,,,4/16/2021,62509.1
4/15/2021,63063.3,N/A,63055.8,63518.5,62738.3,,,4/15/2021,63518.5
4/14/2021,63001.1,N/A,63715.3,63347.3,62361.7,,,4/14/2021,63347.3
4/13/2021,63809,N/A,60496.3,63818.7,63080.7,,,4/13/2021,63818.7
4/12/2021,60535.5,N/A,60350.4,61068.3,59839.4,,,4/12/2021,61068.3
4/11/2021,60211.2,N/A,60267.1,60311.3,59598.2,,,4/11/2021,60311.3
4/10/2021,60319.8,N/A,59206.4,60667.1,59640.8,,,4/10/2021,60667.1
4/9/2021,59119.4,N/A,58010.7,59149.9,57900,,,4/9/2021,59149.9
4/8/2021,58081.2,N/A,56565.9,58391.3,57832.9,,,4/8/2021,58391.3
4/7/2021,56580.9,N/A,57900.4,56674.6,55721.6,,,4/7/2021,56674.6
4/6/2021,57907.1,N/A,58611.7,58192.7,57286.9,,,4/6/2021,58192.7
4/5/2021,58800.4,N/A,57452.1,59487,58662,,,4/5/2021,59487
4/4/2021,57555.1,N/A,57541.4,58355,57497.6,,,4/4/2021,58355
4/3/2021,57325.1,N/A,59216.6,57448.9,56470.6,,,4/3/2021,57448.9
4/2/2021,59205.3,N/A,59676.4,59414,58948.5,,,4/2/2021,59414
4/1/2021,59733.7,N/A,59083.4,60134.9,58496.3,,,4/1/2021,60134.9
3/31/2021,58995.8,N/A,58673.7,59309.8,58738.9,,,3/31/2021,59309.8
3/30/2021,58534.6,N/A,57320,59030.2,58429.8,,,3/30/2021,59030.2
3/29/2021,57141,N/A,55344.1,57752.7,57128.3,,,3/29/2021,57752.7
3/28/2021,55393.9,N/A,55791.9,55899.4,55002.9,,,3/28/2021,55899.4
3/27/2021,56133.6,N/A,54786.9,56174.8,55645.5,,,3/27/2021,56174.8
3/26/2021,54751.7,N/A,51667.2,55532.1,54551.8,,,3/26/2021,55532.1
3/25/2021,52428.5,N/A,52189.3,52669.2,51306.1,,,3/25/2021,52669.2
3/24/2021,52136.7,N/A,54447.1,52763,51561.3,,,3/24/2021,52763
3/23/2021,54444.7,N/A,54517.9,54716.8,53579.1,,,3/23/2021,54716.8
3/22/2021,54577,N/A,57558.1,55287.5,53842.1,,,3/22/2021,55287.5
3/21/2021,57316.4,N/A,57809.8,57443.4,56357.5,,,3/21/2021,57443.4
3/20/2021,57754.5,N/A,58419.7,58583.8,57471.4,,,3/20/2021,58583.8
